Date,Price
Apr-20,1.938
May-20,1.961
Jun-20,2.17
Jul-20,2.272
Aug-20,2.272
Sep-20,2.274
Oct-20,2.248
Nov-20,2.2
Dec-20,2.284
Jan-21,2.42
Feb-21,2.587
Mar-21,2.898
Apr-21,2.948
May-21,3.076
Jun-21,3.157
Jul-21,3.231
Aug-21,3.255
Sep-21,3.272
Oct-21,3.384
Nov-21,3.491
Dec-21,3.406
Jan-22,3.413
Feb-22,3.611
Mar-22,4.322
Apr-22,4.213
May-22,4.545
Jun-22,5.032
Jul-22,4.668
Aug-22,4.087
Sep-22,3.817
