DATE,MORTGAGE30US
2005-12-01,6.2720000000000000
2006-01-01,6.1450000000000000
2006-02-01,6.2525000000000000
2006-03-01,6.3240000000000000
2006-04-01,6.5075000000000000
2006-05-01,6.5975000000000000
2006-06-01,6.6820000000000000
2006-07-01,6.7625000000000000
2006-08-01,6.5240000000000000
2006-09-01,6.4025000000000000
2006-10-01,6.3575000000000000
2006-11-01,6.2400000000000000
2006-12-01,6.1350000000000000
2007-01-01,6.2175000000000000
2007-02-01,6.2850000000000000
2007-03-01,6.1560000000000000
2007-04-01,6.1800000000000000
2007-05-01,6.2620000000000000
2007-06-01,6.6575000000000000
2007-07-01,6.6950000000000000
2007-08-01,6.5720000000000000
2007-09-01,6.3825000000000000
2007-10-01,6.3750000000000000
2007-11-01,6.2080000000000000
2007-12-01,6.0950000000000000
2008-01-01,5.7580000000000000
2008-02-01,5.9175000000000000
2008-03-01,5.9700000000000000
2008-04-01,5.9175000000000000
2008-05-01,6.0360000000000000
2008-06-01,6.3200000000000000
2008-07-01,6.4260000000000000
2008-08-01,6.4775000000000000
2008-09-01,6.0375000000000000
2008-10-01,6.2000000000000000
2008-11-01,6.0875000000000000
2008-12-01,5.2860000000000000
2009-01-01,5.0475000000000000
2009-02-01,5.1300000000000000
2009-03-01,5.0025000000000000
2009-04-01,4.8100000000000000
2009-05-01,4.8575000000000000
2009-06-01,5.4200000000000000
2009-07-01,5.2220000000000000
2009-08-01,5.1925000000000000
2009-09-01,5.0575000000000000
2009-10-01,4.9520000000000000
2009-11-01,4.8750000000000000
2009-12-01,4.9300000000000000
2010-01-01,5.0300000000000000
2010-02-01,4.9900000000000000
2010-03-01,4.9675000000000000
2010-04-01,5.0980000000000000
2010-05-01,4.8875000000000000
2010-06-01,4.7375000000000000
2010-07-01,4.5640000000000000
2010-08-01,4.4275000000000000
2010-09-01,4.3460000000000000
2010-10-01,4.2250000000000000
2010-11-01,4.3000000000000000
2010-12-01,4.7140000000000000
2011-01-01,4.7550000000000000
2011-02-01,4.9525000000000000
2011-03-01,4.8360000000000000
2011-04-01,4.8400000000000000
2011-05-01,4.6375000000000000
2011-06-01,4.5100000000000000
2011-07-01,4.5450000000000000
2011-08-01,4.2700000000000000
2011-09-01,4.1060000000000000
2011-10-01,4.0675000000000000
2011-11-01,3.9925000000000000
2011-12-01,3.9580000000000000
2012-01-01,3.9150000000000000
2012-02-01,3.8900000000000000
2012-03-01,3.9540000000000000
2012-04-01,3.9100000000000000
2012-05-01,3.7980000000000000
2012-06-01,3.6750000000000000
2012-07-01,3.5500000000000000
2012-08-01,3.6020000000000000
2012-09-01,3.4975000000000000
2012-10-01,3.3825000000000000
